Rank,Mountain,Height.m,Height.Ft,Prominence.m,Range.1,Range.2,Latitude,Longitude,Parent,First.Ascent,Ascents,Country.With
74,68,Istor-o-Nal,7.403,24.288,1.043,Hindu Kush,,36.37556,71.89833,Noshaq,1969,4 (5),Pakistan
75,69,Ghent Kangri,7.401,24.281,1.493,Saltoro,Karakoram,35.51778,76.80056,Saltoro Kangri,1961,4 (0),India; Pakistan; [dp 1]; [dp 3]
76,70,Ultar,7.388,24.239,688,Batura,Karakoram,36.39083,74.71667,Shispare,1996,2 (5),Pakistan; [dp 1]
77,71,Rimo I,7.385,24.229,1.428,Rimo,Karakoram,35.355,77.36889,Teram Kangri I,1988,1 (3),India; [dp 5]
78,72,Churen Himal,7.385,24.229,650,Dhaulagiri,Himalaya,28.73472,83.2175,Dhaulagiri IV,1970,3 (0),Nepal
79,73,Teram Kangri III,7.382,24.219,520,Siachen,Karakoram,35.59972,77.04806,Teram Kangri I,1979,1 (0),India; China; [dp 2]; [dp 3]
80,74,Sherpi Kangri,7.38,24.213,1.32,Saltoro,Karakoram,35.46611,76.78139,Ghent Kangri,1976,1 (1),India; Pakistan; [dp 1]; [dp 3]
81,75,Labuche Kang,7.367,24.17,1.957,Labuche,Himalaya,28.30417,86.35083,Cho Oyu,1987,1 (0),China
82,76,Kirat Chuli,7.362,24.153,1.168,Kangchenjunga,Himalaya,27.78778,88.19528,Kangchenjunga,1939,1 (6),India; Nepal
83,116,Abi Gamin,7.355,24.131,217,Garhwal,Himalaya,30.9325,79.6025,Kamet,1950,17 (2),India; China
84,117,Gimmigela,7.35,24.114,432,Kangchenjunga,Himalaya,27.74083,88.15861,Kangchenjunga,1994,3 (1),India; Nepal
85,117,Nangpai Gosum,7.35,24.114,427,Mahalangur,Himalaya,28.07333,86.61417,Cho Oyu,1986,3 (1) [14],Nepal; China
86,77,Saraghrar,7.349,24.111,1.979,Hindu Kush,,36.5475,72.115,Noshaq,1959,2 (3),Pakistan
87,118,Talung,7.349,24.111,366,Kangchenjunga,Himalaya,27.655,88.13083,Kabru,1964,3 (4)[15],Nepal; India
88,78,Jomolhari,7.326,24.035,2.341,Jomolhari,Himalaya,27.82667,89.26778,Gangkhar Puensum,1937,4 (0),Bhutan; China
